badWords,neutralWords,colour,correct_key,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instrText.started,instrText.stopped,keyResp.keys,keyResp.rt,keyResp.started,keyResp.stopped,instrText_2.started,instrText_2.stopped,keyResp_2.keys,keyResp_2.rt,keyResp_2.started,keyResp_2.stopped,textStroopWord.started,textStroopWord.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.672254399978556,None,space,2.8957530000188854,10.672254399978556,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-09-17_15h54.59.951,Stroop,2022.1.4,59.98336061126814,
,,,,,,,,,,,,,,,,,,13.58957849998842,None,space,2.8109975999977905,13.58957849998842,None,,,,,,,,,,,,,,,,,,,,1,001,2022-09-17_15h54.59.951,Stroop,2022.1.4,59.98336061126814,
Zabijanie,Podjadanie,blue,z,0,0,0,10,,,,,,,,,,,,,,,,,17.422871599992504,None,z,1,0.9935314000176731,17.422871599992504,None,,,,,,,,,,,,,1,001,2022-09-17_15h54.59.951,Stroop,2022.1.4,59.98336061126814,
Gwałt,Skaut,green,x,0,1,1,1,,,,,,,,,,,,,,,,,19.42285439997795,None,x,1,0.4578884999791626,19.42285439997795,None,,,,,,,,,,,,,1,001,2022-09-17_15h54.59.951,Stroop,2022.1.4,59.98336061126814,
Brud,Klub,red,m,0,2,2,12,,,,,,,,,,,,,,,,,20.889512199995806,None,None,0,,20.889512199995806,None,,,,,,,,,,,,,1,001,2022-09-17_15h54.59.951,Stroop,2022.1.4,59.98336061126814,
Mrok,Skok,blue,z,0,3,3,2,,,,,,,,,,,,,,,,,25.872809399996186,24.889345200004755,m,0,0.8871716000139713,25.872809399996186,24.889345200004755,,,,,,,,,,,,,1,001,2022-09-17_15h54.59.951,Stroop,2022.1.4,59.98336061126814,
Więzienie,Schronienie,blue,n,0,4,4,6,,,,,,,,,,,,,,,,,27.772789599985117,None,n,1,0.6026595000002999,27.772789599985117,None,,,,,,,,,,,,,1,001,2022-09-17_15h54.59.951,Stroop,2022.1.4,59.98336061126814,
Pedofil,Profil,yellow,m,0,5,5,15,,,,,,,,,,,,,,,,,29.38944420000189,None,x,0,0.7626105999806896,29.38944420000189,None,,,,,,,,,,,,,1,001,2022-09-17_15h54.59.951,Stroop,2022.1.4,59.98336061126814,
Wojna,Wolna,yellow,n,0,6,6,19,,,,,,,,,,,,,,,,,31.156103699991945,None,z,0,0.2841267999901902,31.156103699991945,None,,,,,,,,,,,,,1,001,2022-09-17_15h54.59.951,Stroop,2022.1.4,59.98336061126814,
Śmierć,Pięć,yellow,n,0,7,7,3,,,,,,,,,,,,,,,,,32.45611279999139,None,m,0,0.24825960001908243,32.45611279999139,None,,,,,,,,,,,,,1,001,2022-09-17_15h54.59.951,Stroop,2022.1.4,59.98336061126814,
