badWords,neutralWords,colour,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instrText.started,instrText.stopped,keyResp.keys,keyResp.rt,keyResp.started,keyResp.stopped,instrText_2.started,instrText_2.stopped,keyResp_2.keys,keyResp_2.rt,keyResp_2.started,keyResp_2.stopped,textStroopWord.started,textStroopWord.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,9.36611069997889,None,space,2.4814770000230055,9.36611069997889,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
,,,,,,,,,,,,,,,,,11.865832799987402,None,space,1.1177805000043008,11.865832799987402,None,,,,,,,,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Krew,Brew,green,0,0,0,13,,,,,,,,,,,,,,,,,13.515821699984372,None,z,0,1.396063000021968,13.515821699984372,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Choroba,Gospoda,yellow,0,1,1,7,,,,,,,,,,,,,,,,,15.415948599984404,None,None,0,,15.415948599984404,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Molestowanie,Bieganie,blue,0,2,2,14,,,,,,,,,,,,,,,,,19.899113699997542,19.415780399984214,n,0,3.5636359000054654,19.899113699997542,19.415780399984214,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Węże,Jeże,red,0,3,3,4,,,,,,,,,,,,,,,,,23.96573189998162,None,m,0,3.7304086000076495,23.96573189998162,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Bić,Nić,blue,0,4,4,18,,,,,,,,,,,,,,,,,28.19902989998809,None,m,0,0.7201952000032179,28.19902989998809,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Wojna,Wolna,yellow,0,5,5,19,,,,,,,,,,,,,,,,,29.43237179997959,None,z,0,0.6549691000254825,29.43237179997959,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Terroryzm,Behawioryzm,green,0,6,6,17,,,,,,,,,,,,,,,,,30.599006399977952,None,n,0,0.5923147000139579,30.599006399977952,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Brud,Klub,red,0,7,7,12,,,,,,,,,,,,,,,,,31.699027299997397,None,m,0,0.44517520000226796,31.699027299997397,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Bieda,Dieta,yellow,0,8,8,11,,,,,,,,,,,,,,,,,32.64900459998171,None,n,0,0.35898710001492873,32.64900459998171,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Amputacja,Kreacja,red,0,9,9,8,,,,,,,,,,,,,,,,,33.515667500003474,None,x,0,0.28401339999982156,33.515667500003474,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Złość,Gość,red,0,10,10,0,,,,,,,,,,,,,,,,,34.315643399982946,None,z,0,0.2752833000267856,34.315643399982946,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Psychoza,Glukoza,green,0,11,11,9,,,,,,,,,,,,,,,,,35.09899199998472,None,m,0,0.3807591000222601,35.09899199998472,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Śmierć,Pięć,yellow,0,12,12,3,,,,,,,,,,,,,,,,,35.982312799984356,None,n,0,0.3622142000240274,35.982312799984356,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Zabijanie,Podjadanie,blue,0,13,13,10,,,,,,,,,,,,,,,,,36.848838000005344,None,m,0,0.2938922999892384,36.848838000005344,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Pedofil,Profil,yellow,0,14,14,15,,,,,,,,,,,,,,,,,37.648970899987034,None,n,0,0.39061170001514256,37.648970899987034,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Więzienie,Schronienie,blue,0,15,15,6,,,,,,,,,,,,,,,,,38.54895189998206,None,m,0,0.6186307999887504,38.54895189998206,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Mrok,Skok,blue,0,16,16,2,,,,,,,,,,,,,,,,,39.68229139997857,None,n,0,0.3410775999946054,39.68229139997857,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Przemoc,Równonoc,red,0,17,17,16,,,,,,,,,,,,,,,,,40.53229069997906,None,m,0,0.4349037000210956,40.53229069997906,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Maczeta,Skarpeta,green,0,18,18,5,,,,,,,,,,,,,,,,,41.48228249998647,None,n,0,0.47786149999592453,41.48228249998647,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
Gwałt,Skaut,green,0,19,19,1,,,,,,,,,,,,,,,,,42.46559179999167,None,m,0,0.3743364000110887,42.46559179999167,None,,,,,,,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.89881329998025,None,space,1.5805766000121366,42.89881329998025,None,,001,2022-09-17_14h33.29.876,Stroop,2022.1.4,59.998872030078815,
