badWords,neutralWords,colour,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instrText.started,instrText.stopped,keyResp.keys,keyResp.rt,keyResp.started,keyResp.stopped,instrText_2.started,instrText_2.stopped,keyResp_2.keys,keyResp_2.rt,keyResp_2.started,keyResp_2.stopped,textStroopWord.started,textStroopWord.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,18.028798699990148,None,z,1.970639500010293,18.028798699990148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-17_14h53.45.935,Stroop,2022.1.4,59.970770240442064,
,,,,,,,,,,,,,,,,,20.02823999998509,None,space,0.6117679000017233,20.02823999998509,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-17_14h53.45.935,Stroop,2022.1.4,59.970770240442064,
Złość,Gość,red,0,0,0,0,,,,,,,,,,,,,,,,,21.66154029997415,None,z,0,1.4672579000180122,21.66154029997415,None,,,,,,,,,,,,,,001,2022-09-17_14h53.45.935,Stroop,2022.1.4,59.970770240442064,
Śmierć,Pięć,yellow,0,1,1,3,,,,,,,,,,,,,,,,,24.144918799982406,None,x,0,0.24800980000873096,24.144918799982406,None,,,,,,,,,,,,,,001,2022-09-17_14h53.45.935,Stroop,2022.1.4,59.970770240442064,
Amputacja,Kreacja,red,0,2,2,8,,,,,,,,,,,,,,,,,25.394913399999496,None,x,0,0.26116710001952015,25.394913399999496,None,,,,,,,,,,,,,,001,2022-09-17_14h53.45.935,Stroop,2022.1.4,59.970770240442064,
Bić,Nić,blue,0,3,3,18,,,,,,,,,,,,,,,,,26.661650099995313,None,x,0,0.08242120000068098,26.661650099995313,None,,,,,,,,,,,,,,001,2022-09-17_14h53.45.935,Stroop,2022.1.4,59.970770240442064,
Więzienie,Schronienie,blue,0,4,4,6,,,,,,,,,,,,,,,,,27.745131499978015,None,x,0,0.23906350001925603,27.745131499978015,None,,,,,,,,,,,,,,001,2022-09-17_14h53.45.935,Stroop,2022.1.4,59.970770240442064,
Brud,Klub,red,0,5,5,12,,,,,,,,,,,,,,,,,28.99490649998188,None,n,0,0.22040049999486655,28.99490649998188,None,,,,,,,,,,,,,,001,2022-09-17_14h53.45.935,Stroop,2022.1.4,59.970770240442064,
Psychoza,Glukoza,green,0,6,6,9,,,,,,,,,,,,,,,,,30.228226399980485,None,m,0,0.08407969999825582,30.228226399980485,None,,,,,,,,,,,,,,001,2022-09-17_14h53.45.935,Stroop,2022.1.4,59.970770240442064,
Gwałt,Skaut,green,0,7,7,1,,,,,,,,,,,,,,,,,31.328237299981993,None,m,0,0.23922710001352243,31.328237299981993,None,,,,,,,,,,,,,,001,2022-09-17_14h53.45.935,Stroop,2022.1.4,59.970770240442064,
