badWords,neutralWords,colour,correct_key,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instrText.started,instrText.stopped,keyResp.keys,keyResp.rt,keyResp.started,keyResp.stopped,instrText_2.started,instrText_2.stopped,keyResp_2.keys,keyResp_2.rt,keyResp_2.started,keyResp_2.stopped,textStroopWord.started,textStroopWord.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,9.933265600004233,None,x,0.6129306000075303,9.933265600004233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
,,,,,,,,,,,,,,,,,,10.566694800014375,None,z,0.5870378999970853,10.566694800014375,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Molestowanie,Bieganie,blue,n,0,0,0,14,,,,,,,,,,,,,,,,,12.182983100006822,None,x,0,0.659275499987416,12.182983100006822,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Bieda,Dieta,yellow,n,0,1,1,11,,,,,,,,,,,,,,,,,13.849849000020185,None,m,0,0.2565574000182096,13.849849000020185,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Więzienie,Schronienie,blue,n,0,2,2,6,,,,,,,,,,,,,,,,,15.116533400025219,None,n,1,0.2460449999780394,15.116533400025219,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Złość,Gość,red,m,0,3,3,0,,,,,,,,,,,,,,,,,16.36621870001545,None,z,0,0.13239250000333413,16.36621870001545,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Choroba,Gospoda,yellow,m,0,4,4,7,,,,,,,,,,,,,,,,,17.49934090001625,None,x,0,0.22340560000156984,17.49934090001625,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Krew,Brew,green,x,0,5,5,13,,,,,,,,,,,,,,,,,18.73267730002408,None,n,0,0.3172284999745898,18.73267730002408,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Zabijanie,Podjadanie,blue,z,0,6,6,10,,,,,,,,,,,,,,,,,20.066231600008905,None,n,0,0.24886039999546483,20.066231600008905,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Terroryzm,Behawioryzm,green,x,0,7,7,17,,,,,,,,,,,,,,,,,21.31668710001395,None,m,0,0.3507023999991361,21.31668710001395,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Wojna,Wolna,yellow,n,0,8,8,19,,,,,,,,,,,,,,,,,22.68309350000345,None,m,0,0.21530059998622164,22.68309350000345,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Bić,Nić,blue,z,0,9,9,18,,,,,,,,,,,,,,,,,23.899855800002115,None,x,0,0.2226706999936141,23.899855800002115,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Przemoc,Równonoc,red,m,0,10,10,16,,,,,,,,,,,,,,,,,25.133108300011372,None,z,0,0.14946769998641685,25.133108300011372,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Amputacja,Kreacja,red,z,0,11,11,8,,,,,,,,,,,,,,,,,26.283279700001003,None,n,0,0.24641459999838844,26.283279700001003,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Brud,Klub,red,m,0,12,12,12,,,,,,,,,,,,,,,,,27.53291249999893,None,x,0,0.23695940000470728,27.53291249999893,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Psychoza,Glukoza,green,x,0,13,13,9,,,,,,,,,,,,,,,,,28.783133700024337,None,z,0,0.19584810000378639,28.783133700024337,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Węże,Jeże,red,m,0,14,14,4,,,,,,,,,,,,,,,,,29.983106500003487,None,x,0,0.38712019997183233,29.983106500003487,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
Śmierć,Pięć,yellow,n,0,15,15,3,,,,,,,,,,,,,,,,,31.38310140001704,None,x,0,0.36334810001426376,31.38310140001704,None,,,,,,,,,,,,,,001,2022-09-17_16h05.42.916,Stroop,2022.1.4,59.999807995659985,
